Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Giovanni Moreno,Attacking Midfield,24,Atl. Nacional,Liga Águila II,Racing Club,Torneo Final,2010-2011,2000000,3200000
Luis Jiménez,Attacking Midfield,26,Inter,Serie A,Ternana,Serie C - B,2010-2011,4000000,3180000
Maksym Koval,Goalkeeper,17,Metalurh Z.,Premier Liga,Dynamo Kyiv,Premier Liga,2010-2011,700000,3100000
Giuseppe Sculli,Left Winger,29,Genoa,Serie A,Lazio,Serie A,2010-2011,5000000,3000000
Ronaldinho,Attacking Midfield,30,AC Milan,Serie A,Flamengo,Série A,2010-2011,27500000,3000000
Ibrahim Afellay,Left Midfield,24,PSV Eindhoven,Eredivisie,FC Barcelona,LaLiga,2010-2011,10000000,3000000
Peter Odemwingie,Right Winger,29,Loko Moscow,Premier Liga,West Brom,Premier League,2010-2011,5800000,3000000
Javier Pastore,Attacking Midfield,22,US Palermo,Serie A,Paris SG,Ligue 1,2011-2012,21000000,42000000
Sergio Agüero,Centre-Forward,23,Atlético Madrid,LaLiga,Man City,Premier League,2011-2012,36000000,40000000
Falcao,Centre-Forward,25,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,25000000,40000000
Cesc Fàbregas,Central Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2011-2012,54000000,34000000
Manuel Neuer,Goalkeeper,25,FC Schalke 04,1.Bundesliga,Bayern Munich ,1.Bundesliga,2011-2012,28000000,30000000
Fábio Coentrão,Left-Back,23,Benfica,Liga NOS,Real Madrid,LaLiga,2011-2012,24000000,30000000
Samir Nasri,Left Winger,24,Arsenal,Premier League,Man City,Premier League,2011-2012,26000000,27500000
Samuel Eto'o,Centre-Forward,30,Inter,Serie A,Anzhi,Premier Liga,2011-2012,42000000,27000000
Juan Mata,Attacking Midfield,23,Valencia CF,LaLiga,Chelsea,Premier League,2011-2012,26000000,26700000
Alexis Sánchez,Left Winger,22,Udinese Calcio,Serie A,FC Barcelona,LaLiga,2011-2012,25000000,26000000
David de Gea,Goalkeeper,20,Atlético Madrid,LaLiga,Man Utd,Premier League,2011-2012,12000000,25000000
Zlatan Ibrahimovic,Centre-Forward,29,FC Barcelona,LaLiga,AC Milan,Serie A,2011-2012,35000000,24000000
Santi Cazorla,Central Midfield,26,Villarreal CF,LaLiga,Málaga CF,LaLiga,2011-2012,18000000,23000000
Stewart Downing,Left Midfield,26,Aston Villa,Premier League,Liverpool,Premier League,2011-2012,12000000,22800000
Phil Jones,Centre-Back,19,Blackburn,Premier League,Man Utd,Premier League,2011-2012,3500000,19300000
Balázs Dzsudzsák,Left Winger,25,Anzhi, Russia,Dinamo Moscow, Russia,2011-2012,14000000,19000000
Ashley Young,Left Midfield,25,Aston Villa,Premier League,Man Utd,Premier League,2011-2012,18000000,18000000
Gökhan Inler,Defensive Midfield,27,Udinese Calcio,Serie A,SSC Napoli,Serie A,2011-2012,15000000,18000000
Jordan Henderson,Central Midfield,21,Sunderland,Premier League,Liverpool,Premier League,2011-2012,8500000,18000000
Érik Lamela,Right Winger,19,River Plate,Primera B Nacional,AS Roma,Serie A,2011-2012,5000000,17000000
Daniel Osvaldo,Centre-Forward,25,Espanyol,LaLiga,AS Roma,Serie A,2011-2012,10000000,16000000
Alessandro Matri,Centre-Forward,26,Cagliari Calcio,Serie A,Juventus,Serie A,2011-2012,16500000,15500000
Stephan El Shaarawy,Left Winger,18,Genoa,Serie A,AC Milan,Serie A,2011-2012,7000000,15500000
Mirko Vucinic,Second Striker,27,AS Roma,Serie A,Juventus,Serie A,2011-2012,22000000,15000000
Romelu Lukaku,Centre-Forward,18,RSC Anderlecht,Jupiler Pro League,Chelsea,Premier League,2011-2012,15000000,15000000
Domenico Criscito,Left-Back,24,Genoa,Serie A,Zenit S-Pb,Premier Liga,2011-2012,12500000,15000000
Yuri Zhirkov,Left Midfield,27,Chelsea,Premier League,Anzhi,Premier Liga,2011-2012,12000000,15000000
Balázs Dzsudzsák,Left Winger,24,PSV Eindhoven,Eredivisie,Anzhi,Premier Liga,2011-2012,14000000,14000000
Christopher Samba,Centre-Back,27,Blackburn,Premier League,Anzhi, Russia,2011-2012,12000000,14000000
Alex Oxlade-Chamberlain,Right Midfield,17,Southampton,Championship,Arsenal,Premier League,2011-2012,2500000,13800000
Raúl Meireles,Central Midfield,28,Liverpool,Premier League,Chelsea,Premier League,2011-2012,16000000,13500000
Jérôme Boateng,Centre-Back,22,Man City,Premier League,Bayern Munich ,1.Bundesliga,2011-2012,15000000,13500000
Pizzi,Central Midfield,22,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,7500000,13500000
Eduardo Vargas,Centre-Forward,22,U. de Chile,Primera División,SSC Napoli,Serie A,2011-2012,6000000,13500000
Arda Turan,Left Winger,24,Galatasaray,Süper Lig,Atlético Madrid,LaLiga,2011-2012,15500000,13000000
Danilo,Right-Back,19,Santos FC,Série A,FC Porto,Liga NOS,2011-2012,5000000,13000000
Roman Eremenko,Attacking Midfield,24,Dynamo Kyiv,Premier Liga,Rubin Kazan,Premier Liga,2011-2012,6500000,12900000
Arturo Vidal,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Juventus,Serie A,2011-2012,20000000,12500000
Edinson Cavani,Centre-Forward,24,US Palermo,Serie A,SSC Napoli,Serie A,2011-2012,24500000,12000000
Gervinho,Left Winger,24,LOSC Lille,Ligue 1,Arsenal,Premier League,2011-2012,16000000,12000000
Mikel Arteta,Central Midfield,29,Everton,Premier League,Arsenal,Premier League,2011-2012,15000000,12000000
Bojan Krkic,Second Striker,20,FC Barcelona,LaLiga,AS Roma,Serie A,2011-2012,15000000,12000000
Papiss Demba Cissé,Centre-Forward,26,SC Freiburg,1.Bundesliga,Newcastle,Premier League,2011-2012,13500000,12000000
Bryan Ruíz,Left Midfield,26,FC Twente,Eredivisie,Fulham,Premier League,2011-2012,12500000,12000000
Stefan Savic,Centre-Back,20,Partizan,SuperLiga,Man City,Premier League,2011-2012,6000000,12000000
Thiago Motta,Defensive Midfield,29,Inter,Serie A,Paris SG,Ligue 1,2011-2012,15000000,11500000
Per Mertesacker,Centre-Back,26,Werder Bremen,1.Bundesliga,Arsenal,Premier League,2011-2012,10000000,11300000
Peter Crouch,Centre-Forward,30,Spurs,Premier League,Stoke City,Premier League,2011-2012,10000000,11300000
Jérémy Toulalan,Defensive Midfield,27,Olympique Lyon,Ligue 1,Málaga CF,LaLiga,2011-2012,18000000,11000000
Kévin Gameiro,Centre-Forward,24,FC Lorient,Ligue 1,Paris SG,Ligue 1,2011-2012,13500000,11000000
Miralem Pjanic,Central Midfield,21,Olympique Lyon,Ligue 1,AS Roma,Serie A,2011-2012,9000000,11000000
Charles N'Zogbia,Right Winger,25,Wigan,Premier League,Aston Villa,Premier League,2011-2012,9000000,10800000
Fabio Quagliarella,Centre-Forward,28,SSC Napoli,Serie A,Juventus,Serie A,2011-2012,17500000,10500000
Ricardo Álvarez,Attacking Midfield,23,Vélez Sarsfield,Torneo Final,Inter,Serie A,2011-2012,3500000,10500000
Nuri Sahin,Defensive Midfield,22,Bor. Dortmund,1.Bundesliga,Real Madrid,LaLiga,2011-2012,20000000,10000000
Marco Borriello,Centre-Forward,29,AC Milan,Serie A,AS Roma,Serie A,2011-2012,13000000,10000000
Moussa Sow,Centre-Forward,26,LOSC Lille,Ligue 1,Fenerbahce,Süper Lig,2011-2012,12000000,10000000
Vágner Love,Centre-Forward,27,CSKA Moscow, Russia,Flamengo,Série A,2011-2012,12000000,10000000
Emmanuel Emenike,Centre-Forward,24,Fenerbahce,Süper Lig,Spartak Moscow,Premier Liga,2011-2012,6000000,10000000
Bernd Leno,Goalkeeper,19,VfB Stuttgart,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,5000000,10000000
Raphaël Varane,Centre-Back,18,Lens,Ligue 2,Real Madrid,LaLiga,2011-2012,4000000,10000000
Stephan Lichtsteiner,Right-Back,27,Lazio,Serie A,Juventus,Serie A,2011-2012,9000000,9930000
Alex Sandro,Left-Back,20,Maldonado,Segunda División,FC Porto,Liga NOS,2011-2012,1800000,9600000
Wilson Palacios,Defensive Midfield,26,Spurs,Premier League,Stoke City,Premier League,2011-2012,14000000,9000000
Eljero Elia,Left Winger,24,Hamburger SV,1.Bundesliga,Juventus,Serie A,2011-2012,12500000,9000000
Christian Träsch,Defensive Midfield,23,VfB Stuttgart,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2011-2012,10000000,9000000
Axel Witsel,Central Midfield,22,Standard Liège,Jupiler Pro League,Benfica,Liga NOS,2011-2012,10000000,9000000
Cristián Zapata,Centre-Back,24,Udinese Calcio,Serie A,Villarreal CF,LaLiga,2011-2012,9000000,9000000
Dimitri Payet,Attacking Midfield,24,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,2011-2012,9000000,9000000
Sébastien Frey,Goalkeeper,31,Fiorentina,Serie A,Genoa,Serie A,2011-2012,8500000,9000000
Roman Pavlyuchenko,Centre-Forward,30,Spurs,Premier League,Loko Moscow, Russia,2011-2012,8500000,9000000
Emmanuel Emenike,Centre-Forward,24,Karabükspor,Süper Lig,Fenerbahce,Süper Lig,2011-2012,6000000,9000000
Brown Ideye,Centre-Forward,22,FC Sochaux,Ligue 1,Dynamo Kyiv,Premier Liga,2011-2012,6000000,9000000
Blerim Dzemaili,Central Midfield,25,Parma,Serie A,SSC Napoli,Serie A,2011-2012,5000000,9000000
Connor Wickham,Centre-Forward,18,Ipswich,Championship,Sunderland,Premier League,2011-2012,4000000,9000000
Miguel Britos,Centre-Back,26,Bologna,Serie A,SSC Napoli,Serie A,2011-2012,3500000,9000000
Thibaut Courtois,Goalkeeper,19,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,4000000,8950000
Elias,Central Midfield,26,Atlético Madrid,LaLiga,Sporting CP,Liga NOS,2011-2012,7000000,8850000
Roberto,Goalkeeper,25,Benfica,Liga NOS,Real Zaragoza,LaLiga,2011-2012,5600000,8600000
André Schürrle,Left Winger,20,1.FSV Mainz 05,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2011-2012,12500000,8500000
Emiliano Viviano,Goalkeeper,26,Inter,Serie A,US Palermo,Serie A,2011-2012,10000000,8500000
Ricardo Rodríguez,Left-Back,19,FC Zürich,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,7500000,8500000
Dries Mertens,Centre-Forward,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6000000,8500000
Gary Cahill,Centre-Back,26,Bolton,Premier League,Chelsea,Premier League,2011-2012,13000000,8400000
Charlie Adam,Central Midfield,25,Blackpool,Championship,Liverpool,Premier League,2011-2012,4500000,8400000
Darío Conca,Attacking Midfield,28,Fluminense,Série A,GZ Evergrande,Super League,2011-2012,6000000,8200000
Alberto Gilardino,Centre-Forward,29,Fiorentina,Serie A,Genoa,Serie A,2011-2012,16000000,8000000
Jérémy Ménez,Second Striker,24,AS Roma,Serie A,Paris SG,Ligue 1,2011-2012,15000000,8000000
Kevin De Bruyne,Attacking Midfield,20,KRC Genk,Jupiler Pro League,Chelsea,Premier League,2011-2012,9000000,8000000
Christian Noboa,Central Midfield,26,Rubin Kazan, Russia,Dinamo Moscow, Russia,2011-2012,8000000,8000000
Víctor Ruiz,Centre-Back,22,SSC Napoli,Serie A,Valencia CF,LaLiga,2011-2012,8000000,8000000
Blaise Matuidi,Central Midfield,24,Saint-Étienne,Ligue 1,Paris SG,Ligue 1,2011-2012,8000000,8000000
José Enrique,Left-Back,25,Newcastle,Premier League,Liverpool,Premier League,2011-2012,7500000,8000000
Sílvio,Right-Back,23,Braga,Liga NOS,Atlético Madrid,LaLiga,2011-2012,7500000,8000000
Mohamed Sissoko,Defensive Midfield,26,Juventus,Serie A,Paris SG,Ligue 1,2011-2012,7500000,8000000
Christian Benítez,Centre-Forward,25,Santos Laguna,Liga MX Clausura,América,Liga MX Clausura,2011-2012,6500000,8000000
Roger Johnson,Centre-Back,28,Birmingham,Championship,Wolves,Premier League,2011-2012,5000000,8000000
Jonathan de Guzmán,Central Midfield,23,RCD Mallorca,LaLiga,Villarreal CF,LaLiga,2011-2012,5000000,8000000
Nolan Roux,Centre-Forward,23,Stade Brest 29,Ligue 1,LOSC Lille,Ligue 1,2011-2012,4750000,8000000
Matías Silvestre,Centre-Back,26,Catania,Serie A,US Palermo,Serie A,2011-2012,3500000,8000000
Sebastián Coates,Centre-Back,20,Nacional,Primera División,Liverpool,Premier League,2011-2012,2500000,8000000
Gaël Clichy,Left-Back,25,Arsenal,Premier League,Man City,Premier League,2011-2012,15000000,7750000
Fabio Borini,Left Winger,20,Parma,Serie A,AS Roma,Serie A,2011-2012,4800000,7600000
Kevin-Prince Boateng,Central Midfield,24,Genoa,Serie A,AC Milan,Serie A,2011-2012,15000000,7500000
Mamadou Niang,Centre-Forward,31,Fenerbahce,Süper Lig,Al Sadd,Stars League,2011-2012,11500000,7500000
Simone Pepe,Right Winger,27,Udinese Calcio,Serie A,Juventus,Serie A,2011-2012,9000000,7500000
Pablo Piatti,Left Winger,22,UD Almería,LaLiga2,Valencia CF,LaLiga,2011-2012,9000000,7500000
Lucas Piazón,Left Winger,18,FC São Paulo B, Brazil,Chelsea,Premier League,2011-2012,7500000,7500000
Ander Herrera,Central Midfield,21,Real Zaragoza,LaLiga,Athletic Bilbao,LaLiga,2011-2012,7500000,7500000
Youssef El Arabi,Centre-Forward,24,SM Caen,Ligue 1,Hilal,Professional League,2011-2012,6500000,7500000
Felipe Caicedo,Centre-Forward,22,Levante UD,LaLiga,Loko Moscow,Premier Liga,2011-2012,5000000,7500000
Dentinho,Attacking Midfield,22,Corinthians,Série A,Shakhtar D.,Premier Liga,2011-2012,3000000,7500000
Maarten Stekelenburg,Goalkeeper,28,AFC Ajax,Eredivisie,AS Roma,Serie A,2011-2012,11000000,7330000
Emanuele Giaccherini,Left Winger,26,RC Cesena,Serie A,Juventus,Serie A,2011-2012,5000000,7250000
André Santos,Attacking Midfield,28,Fenerbahce,Süper Lig,Arsenal,Premier League,2011-2012,8500000,7000000
Kévin Constant,Defensive Midfield,24,Chievo Verona,Serie A,Genoa,Serie A,2011-2012,5500000,7000000
Tim Matavz,Centre-Forward,22,FC Groningen,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,5500000,7000000
Thiago Neves,Attacking Midfield,26,Hilal,Professional League,Fluminense,Série A,2011-2012,4500000,7000000
Diego Tardelli,Centre-Forward,26,Anzhi, Russia,Al Gharafa,Stars League,2011-2012,2500000,7000000
Scott Dann,Centre-Back,24,Birmingham,Championship,Blackburn,Premier League,2011-2012,4500000,6800000
Fernando Muslera,Goalkeeper,25,Lazio,Serie A,Galatasaray,Süper Lig,2011-2012,12000000,6750000
Eliaquim Mangala,Centre-Back,20,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,5000000,6750000
Diniyar Bilyaletdinov,Attacking Midfield,26,Everton,Premier League,Spartak Moscow, Russia,2011-2012,6500000,6700000
Mevlüt Erdinc,Centre-Forward,24,Paris SG,Ligue 1,Stade Rennais,Ligue 1,2011-2012,7250000,6600000
Nikica Jelavic,Centre-Forward,26,Rangers,Premiership,Everton,Premier League,2011-2012,5000000,6600000
Craig Gardner,Central Midfield,24,Birmingham,Championship,Sunderland,Premier League,2011-2012,4000000,6600000
Ju-yeong Park,Centre-Forward,26,Monaco,Ligue 2,Arsenal,Premier League,2011-2012,7000000,6500000
Alexander Merkel,Central Midfield,19,AC Milan,Serie A,Genoa,Serie A,2011-2012,3500000,6500000
Scott Parker,Central Midfield,30,West Ham,Championship,Spurs,Premier League,2011-2012,14000000,6200000
Borja Valero,Central Midfield,26,West Brom,Premier League,Villarreal CF,LaLiga,2011-2012,12000000,6000000
Adil Rami,Centre-Back,25,LOSC Lille,Ligue 1,Valencia CF,LaLiga,2011-2012,12000000,6000000
Steven Defour,Central Midfield,23,Standard Liège,Jupiler Pro League,FC Porto,Liga NOS,2011-2012,12000000,6000000
Dani Parejo,Central Midfield,22,Getafe CF,LaLiga,Valencia CF,LaLiga,2011-2012,8000000,6000000
Nacho Monreal,Left-Back,25,CA Osasuna,LaLiga,Málaga CF,LaLiga,2011-2012,7000000,6000000
Demy de Zeeuw,Central Midfield,28,AFC Ajax,Eredivisie,Spartak Moscow,Premier Liga,2011-2012,6500000,6000000
Emmanuel Rivière,Centre-Forward,21,Saint-Étienne,Ligue 1,Toulouse,Ligue 1,2011-2012,5250000,6000000
Wesley,Central Midfield,24,Werder Bremen,1.Bundesliga,Palmeiras,Série A,2011-2012,4500000,6000000
Nikola Kalinic,Centre-Forward,23,Blackburn,Premier League,Dnipro,Premier Liga,2011-2012,4500000,6000000
Nabil Dirar,Right Midfield,25,Club Brugge,Jupiler Pro League,Monaco,Ligue 2,2011-2012,3500000,6000000
Fernando,Defensive Midfield,30,G. Bordeaux,Ligue 1,Shabab,Professional League,2011-2012,3000000,6000000
Marcelo Moreno,Centre-Forward,24,Shakhtar D.,Premier Liga,Grêmio,Série A,2011-2012,2800000,6000000
Isco,Attacking Midfield,19,Valencia B,2ª B - Grupo III,Málaga CF,LaLiga,2011-2012,NA,6000000
Djibril Cissé,Centre-Forward,29,Panathinaikos,Super League,Lazio,Serie A,2011-2012,14000000,5800000
Bobby Zamora,Centre-Forward,31,Fulham,Premier League,QPR,Premier League,2011-2012,8000000,5800000
Giovanni Sio,Centre-Forward,22,FC Sion,Super League,VfL Wolfsburg,1.Bundesliga,2011-2012,4500000,5800000
Mehdi Carcela-González,Right Winger,22,Standard Liège,Jupiler Pro League,Anzhi,Premier Liga,2011-2012,4000000,5700000
Davide Santon,Left-Back,20,Inter,Serie A,Newcastle,Premier League,2011-2012,7500000,5650000
Ezequiel Garay,Centre-Back,24,Real Madrid,LaLiga,Benfica,Liga NOS,2011-2012,10000000,5500000
Rafinha,Right-Back,25,Genoa,Serie A,Bayern Munich ,1.Bundesliga,2011-2012,8000000,5500000
Ilkay Gündogan,Central Midfield,20,1.FC Nuremberg,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2011-2012,6500000,5500000
Bruno César,Left Midfield,22,Corinthians,Série A,Benfica,Liga NOS,2011-2012,6000000,5500000
Ivan Perisic,Left Winger,22,Club Brugge,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2011-2012,6000000,5500000
Leroy Fer,Central Midfield,21,Feyenoord,Eredivisie,FC Twente,Eredivisie,2011-2012,5500000,5500000
Maxi Moralez,Attacking Midfield,24,Vélez Sarsfield,Torneo Final,Atalanta,Serie A,2011-2012,5000000,5300000
Édgar Barreto,Central Midfield,27,Atalanta,Serie A,US Palermo,Serie A,2011-2012,3500000,5300000
Matt Mills,Centre-Back,24,Reading,Championship,Leicester,Championship,2011-2012,750000,5300000
Adrian Mierzejewski,Attacking Midfield,24,Pol. Warsaw,Ekstraklasa,Trabzonspor,Süper Lig,2011-2012,3000000,5250000
Federico Marchetti,Goalkeeper,28,Cagliari Calcio,Serie A,Lazio,Serie A,2011-2012,5500000,5200000
Shane Long,Centre-Forward,24,Reading,Championship,West Brom,Premier League,2011-2012,2000000,5100000
Ricky van Wolfswinkel,Centre-Forward,22,FC Utrecht,Eredivisie,Sporting CP,Liga NOS,2011-2012,6000000,5080000
Alex,Centre-Back,29,Chelsea,Premier League,Paris SG,Ligue 1,2011-2012,13000000,5000000
Alou Diarra,Defensive Midfield,29,G. Bordeaux,Ligue 1,Marseille,Ligue 1,2011-2012,12000000,5000000
Yohan Cabaye,Central Midfield,25,LOSC Lille,Ligue 1,Newcastle,Premier League,2011-2012,11000000,5000000
Didier Zokora,Defensive Midfield,30,Sevilla FC,LaLiga,Trabzonspor,Süper Lig,2011-2012,10000000,5000000
Diego Forlán,Second Striker,32,Atlético Madrid,LaLiga,Inter,Serie A,2011-2012,10000000,5000000
Mehmet Ekici,Attacking Midfield,21,Bayern Munich ,1.Bundesliga,Werder Bremen,1.Bundesliga,2011-2012,6500000,5000000
José Callejón,Right Winger,24,Espanyol,LaLiga,Real Madrid,LaLiga,2011-2012,6500000,5000000
Georginio Wijnaldum,Central Midfield,20,Feyenoord,Eredivisie,PSV Eindhoven,Eredivisie,2011-2012,6500000,5000000
Djibril Cissé,Centre-Forward,30,Lazio,Serie A,QPR,Premier League,2011-2012,6000000,5000000
Ikechukwu Uche,Centre-Forward,27,Real Zaragoza,LaLiga,Villarreal CF,LaLiga,2011-2012,5000000,5000000
Ahmed Musa,Centre-Forward,19,VVV-Venlo,Eredivisie,CSKA Moscow, Russia,2011-2012,5000000,5000000
Rúben Micael,Attacking Midfield,24,FC Porto,Liga NOS,Atlético Madrid,LaLiga,2011-2012,4900000,5000000
Gabriel Torje,Right Winger,21,Dinamo Bukarest,Liga 1,Udinese Calcio,Serie A,2011-2012,4500000,5000000
Jonathan,Right-Back,25,Santos FC,Série A,Inter,Serie A,2011-2012,4500000,5000000
Éder,Second Striker,24,Brescia,Serie B,RC Cesena,Serie A,2011-2012,4200000,5000000
Ibson,Central Midfield,27,Spartak Moscow,Premier Liga,Santos FC,Série A,2011-2012,3500000,5000000
Simone Padoin,Central Midfield,27,Atalanta,Serie A,Juventus,Serie A,2011-2012,3500000,5000000
Sergey Davydov,Centre-Forward,26,Kuban Krasnodar, Russia,Rubin Kazan, Russia,2011-2012,3000000,5000000
Nemanja Matic,Defensive Midfield,22,Chelsea,Premier League,Benfica,Liga NOS,2011-2012,3000000,5000000
Dudu,Right Midfield,19,Cruzeiro,Série A,Dynamo Kyiv,Premier Liga,2011-2012,750000,5000000
Derek Boateng,Defensive Midfield,28,Getafe CF,LaLiga,Dnipro,Premier Liga,2011-2012,2500000,4880000
Alessandro Diamanti,Second Striker,28,Brescia,Serie B,Bologna,Serie A,2011-2012,4000000,4860000
Alexander Gerndt,Centre-Forward,25,Helsingborg,Allsvenskan,FC Utrecht,Eredivisie,2011-2012,4000000,4800000
Serdar Kesimal,Centre-Back,22,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,2011-2012,6000000,4750000
Nedum Onuoha,Centre-Back,25,Man City,Premier League,QPR,Premier League,2011-2012,7500000,4700000
Jean Beausejour,Left-Back,27,Birmingham,Championship,Wigan,Premier League,2011-2012,2000000,4700000
Oriol Romeu,Defensive Midfield,19,FC Barcelona B,LaLiga2,Chelsea,Premier League,2011-2012,2500000,4600000
Yuto Nagatomo,Left-Back,24,RC Cesena,Serie A,Inter,Serie A,2011-2012,8500000,4500000
Shaun Wright-Phillips,Right Winger,29,Man City,Premier League,QPR,Premier League,2011-2012,8000000,4500000
Alan Hutton,Right-Back,26,Spurs,Premier League,Aston Villa,Premier League,2011-2012,7500000,4500000
Achille Emaná,Attacking Midfield,29,Real Betis,LaLiga,Hilal,Professional League,2011-2012,7000000,4500000
John O'Shea,Centre-Back,30,Man Utd,Premier League,Sunderland,Premier League,2011-2012,6500000,4500000
Jajá,Centre-Forward,25,Trabzonspor,Süper Lig,Al-Ahli (UAE), United Arab Emirates,2011-2012,6000000,4500000
Vedad Ibisevic,Centre-Forward,27,TSG Hoffenheim,1.Bundesliga,VfB Stuttgart,1.Bundesliga,2011-2012,6000000,4500000
